Frame,Time,Drone_Angle,Speaker_Angle
684,4.553,87.57863495,32.21975135
685,4.56,87.53548942,32.18389657
686,4.567,87.519776,32.15444453
687,4.573,87.53330458,32.11751093
688,4.58,87.42751688,32.08364774
689,4.587,87.39207198,32.04053481
690,4.593,87.52153442,32.01913455
691,4.6,87.39525271,31.99911715
692,4.607,87.38010742,31.97797291
693,4.613,87.61534453,31.98933785
694,4.62,87.57637264,31.97021407
695,4.627,87.60374613,31.9480079
696,4.633,87.75803699,31.94785524
697,4.64,87.42206977,31.93744662
698,4.647,87.47628632,31.93478065
699,4.653,87.72559474,31.92960071
700,4.66,87.41396511,31.92380514
701,4.667,87.52076963,31.91762227
702,4.673,87.33426411,31.92101356
703,4.68,87.03369267,31.89651133
704,4.687,87.40224396,31.89570814
705,4.693,87.49643099,31.87294355
706,4.7,87.33501876,31.86895153
707,4.707,87.46549471,31.85100744
708,4.713,87.46543019,31.85062926
709,4.72,87.22769734,31.84965742
710,4.727,87.31030147,31.83904495
711,4.733,87.36056987,31.8434644
712,4.74,87.22696678,31.85269421
713,4.747,87.40932126,31.88505747
714,4.753,87.49252586,31.88997045
715,4.76,87.48162357,31.90032545
716,4.767,87.35511381,31.91766008
717,4.773,87.52340792,31.93912244
718,4.78,87.65460328,31.95272627
719,4.787,87.42352434,31.96019178
720,4.793,87.5130392,31.97410685
721,4.8,87.55457323,31.98405893
722,4.807,87.43017486,32.00502945
723,4.813,87.45272189,32.01539711
724,4.82,87.50495943,32.050436
725,4.827,87.42314786,32.06950313
726,4.833,87.30930676,32.09598642
727,4.84,87.23670817,32.11752462
728,4.847,87.49263366,32.16026364
729,4.853,87.54311467,32.17639531
730,4.86,87.28617908,32.22308748
731,4.867,87.30788186,32.21846879
732,4.873,87.40336371,32.31349121
733,4.88,87.47228158,32.37364813
734,4.887,87.52013073,32.44857433
735,4.893,87.66992655,32.47614114
736,4.9,87.68439102,32.50666471
737,4.907,87.58997636,32.53477139
738,4.913,87.30621622,32.58416061
739,4.92,87.5358073,32.60953602
740,4.927,87.68596843,32.62574044
741,4.933,87.43330347,32.64763275
742,4.94,87.44901609,32.64176729
743,4.947,87.45267157,32.67081788
744,4.953,87.40678141,32.71706693
745,4.96,87.44384919,32.72137122
746,4.967,87.38812794,32.73835432
747,4.973,87.35636499,32.73527699
748,4.98,87.28090458,32.83296997
749,4.987,87.51593733,32.87262013
750,4.993,87.51399756,32.9034323
751,5,87.23125392,32.93162047
752,5.007,87.23287728,32.97606623
753,5.013,87.56149446,33.02124039
754,5.02,87.31636304,33.05898598
755,5.027,87.24537976,33.0916777
756,5.033,87.50292782,33.14819759
757,5.04,87.55212646,33.17654528
758,5.047,87.18978606,33.21349114
759,5.053,87.23713672,33.23143375
760,5.06,87.59745652,33.27719412
761,5.067,87.50115469,33.30321905
762,5.073,87.24588285,33.29740883
